number,value,datetime_start,datetime_complete,duration,params_D,params_EXOG_ON,params_P,params_Q,params_d,params_enforce_invertibility,params_enforce_stationarity,params_m,params_p,params_q,params_trend,state
109,0.0404835281535303,2025-09-08 16:57:43.920680,2025-09-08 16:57:44.001681,0 days 00:00:00.081001,0,0,0,0,0,True,True,7,3,3,n,COMPLETE
110,1.9928746465927702,2025-09-08 16:57:44.011681,2025-09-08 16:57:45.147681,0 days 00:00:01.136000,0,1,0,0,1,True,True,7,5,0,c,COMPLETE
111,0.0405477417270787,2025-09-08 16:57:44.049680,2025-09-08 16:57:44.103681,0 days 00:00:00.054001,0,0,0,0,0,True,True,7,4,2,n,COMPLETE
112,1.9945547165380872,2025-09-08 16:57:44.168680,2025-09-08 16:57:44.808680,0 days 00:00:00.640000,0,1,0,0,2,True,True,7,2,0,n,COMPLETE
113,1.9932614587062563,2025-09-08 16:57:44.270681,2025-09-08 16:57:44.840680,0 days 00:00:00.569999,0,0,0,0,1,True,True,7,3,3,n,COMPLETE
114,0.04040276276171314,2025-09-08 16:57:44.381680,2025-09-08 16:57:44.787681,0 days 00:00:00.406001,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
115,1.9932614587062563,2025-09-08 16:57:44.728679,2025-09-08 16:57:45.395680,0 days 00:00:00.667001,0,0,0,0,1,True,True,7,3,3,n,COMPLETE
116,1.9932614587062563,2025-09-08 16:57:44.752679,2025-09-08 16:57:44.856681,0 days 00:00:00.104002,0,0,0,0,1,True,True,7,3,3,n,COMPLETE
117,1.9932614587062563,2025-09-08 16:57:44.762679,2025-09-08 16:57:44.888684,0 days 00:00:00.126005,0,0,0,0,1,True,True,7,3,3,n,COMPLETE
118,1.9993551106163165,2025-09-08 16:57:44.804680,2025-09-08 16:57:45.550681,0 days 00:00:00.746001,0,0,0,0,1,True,True,7,4,3,n,COMPLETE
119,0.04040276276171314,2025-09-08 16:57:44.848680,2025-09-08 16:57:45.371681,0 days 00:00:00.523001,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
120,1.9999140650744958,2025-09-08 16:57:45.346681,2025-09-08 16:57:45.668681,0 days 00:00:00.322000,0,0,0,0,2,True,True,7,0,3,n,COMPLETE
121,0.04040276276171314,2025-09-08 16:57:45.418679,2025-09-08 16:57:45.584681,0 days 00:00:00.166002,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
122,1.9999790350829072,2025-09-08 16:57:45.566680,2025-09-08 16:57:45.765682,0 days 00:00:00.199002,0,0,0,0,1,True,True,7,3,1,n,COMPLETE
123,1.9999775646624458,2025-09-08 16:57:45.662681,2025-09-08 16:57:45.908680,0 days 00:00:00.245999,0,0,0,0,1,True,True,7,3,0,n,COMPLETE
124,1.9900651057211542,2025-09-08 16:57:45.681681,2025-09-08 16:57:51.206680,0 days 00:00:05.524999,0,1,0,0,1,True,True,7,4,5,c,PRUNED
125,1.9929971927228427,2025-09-08 16:57:45.713682,2025-09-08 16:57:46.682679,0 days 00:00:00.968997,0,1,0,0,1,True,True,7,3,2,n,COMPLETE
126,0.04040276276171314,2025-09-08 16:57:45.911681,2025-09-08 16:57:46.142681,0 days 00:00:00.231000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
127,0.04040276276171314,2025-09-08 16:57:46.290679,2025-09-08 16:57:46.393681,0 days 00:00:00.103002,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
128,0.20261412835044912,2025-09-08 16:57:46.401681,2025-09-08 16:57:47.208680,0 days 00:00:00.806999,0,1,0,0,0,True,True,7,3,2,n,COMPLETE
